"","Read_Count_A1","Read_Count_A2","Read_Count_A3","Read_Count_A4","Read_Count_A5","Read_Count_A6","Read_Count_A7","Read_Count_A8","Read_Count_A9"
"bin_10_unicycler.faa_1_216",56,164,58,66,26,20,5,18,45
"bin_10_unicycler.faa_1_217",234,783,284,359,129,112,16,96,170
"bin_10_unicycler.faa_1_218",328,416,241,263,206,124,12,34,101
"bin_10_unicycler.faa_1_219",41,64,48,29,36,11,0,4,0
"bin_10_unicycler.faa_1_22",92,262,92,139,39,46,2,34,48
"bin_10_unicycler.faa_1_220",5,18,20,17,5,2,0,2,8
"bin_10_unicycler.faa_1_221",371,1145,407,540,177,199,16,109,158
"bin_10_unicycler.faa_1_222",94,255,81,196,33,24,8,25,68
"bin_10_unicycler.faa_1_223",325,1020,269,504,225,212,10,127,138
"bin_10_unicycler.faa_1_224",305,756,311,356,61,92,10,65,63
"bin_10_unicycler.faa_1_225",183,474,232,282,62,86,7,54,60
"bin_10_unicycler.faa_1_226",16,48,26,32,15,4,0,4,6
"bin_10_unicycler.faa_1_227",0,18,4,2,6,0,0,1,2
"bin_10_unicycler.faa_1_228",1535,5285,1975,2597,170,489,29,616,1002
"bin_10_unicycler.faa_1_229",2,7,0,2,2,2,0,0,1
"bin_10_unicycler.faa_1_23",2066,6812,3425,3544,656,1187,76,637,958
"bin_10_unicycler.faa_1_230",2,4,0,4,0,0,0,0,0
"bin_10_unicycler.faa_1_231",20,8,26,28,6,3,0,4,4
"bin_10_unicycler.faa_1_232",63,204,116,134,7,22,2,24,13
"bin_10_unicycler.faa_1_233",37,58,30,46,7,7,2,4,13
"bin_10_unicycler.faa_1_234",767,2698,1053,1267,73,174,14,295,423
"bin_10_unicycler.faa_1_235",936,2727,1328,1431,68,160,19,327,500
"bin_10_unicycler.faa_1_236",246,571,153,317,169,115,18,146,141
"bin_10_unicycler.faa_1_237",355,1120,587,538,25,49,2,119,139
"bin_10_unicycler.faa_1_238",8,28,2,8,8,0,0,2,0
"bin_10_unicycler.faa_1_239",662,1952,911,1031,36,244,22,194,259
"bin_10_unicycler.faa_1_24",129,324,217,184,46,49,2,32,71
"bin_10_unicycler.faa_1_240",215,462,213,237,32,46,6,37,67
"bin_10_unicycler.faa_1_241",425,1118,485,582,101,95,13,70,144
"bin_10_unicycler.faa_1_242",960,2818,1594,1371,153,308,30,229,398
"bin_10_unicycler.faa_1_243",127,425,192,144,25,32,4,20,34
"bin_10_unicycler.faa_1_244",176,543,255,199,32,53,2,28,71
"bin_10_unicycler.faa_1_245",8,31,10,15,8,4,0,2,0
"bin_10_unicycler.faa_1_246",5,14,8,6,4,2,0,0,0
"bin_10_unicycler.faa_1_247",5,32,18,23,13,11,0,4,3
"bin_10_unicycler.faa_1_248",102,283,151,152,15,30,4,28,54
"bin_10_unicycler.faa_1_249",68,123,71,47,14,13,0,15,27
"bin_10_unicycler.faa_1_25",816,2727,1128,1391,104,254,32,285,452
"bin_10_unicycler.faa_1_250",15,54,35,36,7,16,0,9,21
"bin_10_unicycler.faa_1_251",153,462,150,235,18,36,6,52,98
"bin_10_unicycler.faa_1_252",224,677,253,275,36,44,6,70,101
"bin_10_unicycler.faa_1_253",254,538,258,271,104,53,21,38,88
"bin_10_unicycler.faa_1_254",251,601,283,296,108,73,2,67,100
"bin_10_unicycler.faa_1_255",280,698,332,375,131,70,12,82,76
"bin_10_unicycler.faa_1_256",229,451,230,206,82,42,8,66,61
"bin_10_unicycler.faa_1_257",462,1082,393,411,177,99,28,86,131
"bin_10_unicycler.faa_1_258",465,973,481,479,138,144,11,132,113
"bin_10_unicycler.faa_1_259",325,834,471,379,106,94,11,71,99
"bin_10_unicycler.faa_1_26",322,1093,455,421,34,107,12,106,183
"bin_10_unicycler.faa_1_260",95,166,97,168,35,35,1,14,51
"bin_10_unicycler.faa_1_261",279,616,343,378,174,78,4,47,102
"bin_10_unicycler.faa_1_262",80,115,69,106,42,31,0,11,22
"bin_10_unicycler.faa_1_263",75,132,43,48,56,20,0,13,12
"bin_10_unicycler.faa_1_264",229,518,217,274,108,54,6,59,95
"bin_10_unicycler.faa_1_265",92,210,89,82,35,20,0,24,25
"bin_10_unicycler.faa_1_266",96,129,73,109,31,29,0,10,19
"bin_10_unicycler.faa_1_267",31,131,26,66,9,9,4,9,22
"bin_10_unicycler.faa_1_268",307,842,191,401,62,78,14,114,140
"bin_10_unicycler.faa_1_269",105,356,106,159,42,56,2,42,76
"bin_10_unicycler.faa_1_27",107,352,120,140,14,35,0,24,73
"bin_10_unicycler.faa_1_270",8,25,13,20,9,6,0,4,11
"bin_10_unicycler.faa_1_271",3,3,1,2,1,0,0,0,0
"bin_10_unicycler.faa_1_272",3,2,2,0,1,0,0,0,0
"bin_10_unicycler.faa_1_273",186,626,295,332,28,60,2,32,116
"bin_10_unicycler.faa_1_274",305,1099,508,483,38,94,2,94,151
"bin_10_unicycler.faa_1_275",178,484,240,255,13,52,2,60,91
"bin_10_unicycler.faa_1_276",373,1108,371,458,244,142,12,82,172
"bin_10_unicycler.faa_1_277",20,39,14,12,8,3,0,2,12
"bin_10_unicycler.faa_1_278",122,248,99,139,14,40,0,21,37
"bin_10_unicycler.faa_1_279",305,584,281,306,21,63,2,58,82
"bin_10_unicycler.faa_1_28",98,201,105,108,19,15,1,23,33
"bin_10_unicycler.faa_1_280",212,762,357,328,34,86,2,89,131
"bin_10_unicycler.faa_1_281",61,181,90,60,6,14,0,24,34
"bin_10_unicycler.faa_1_282",162,463,155,259,40,63,24,62,96
"bin_10_unicycler.faa_1_283",109,289,133,171,46,37,8,23,49
"bin_10_unicycler.faa_1_284",110,303,90,130,11,37,0,21,22
"bin_10_unicycler.faa_1_285",29,98,62,80,6,10,0,9,27
"bin_10_unicycler.faa_1_286",9102,29697,11230,15425,1464,4072,356,2835,5949
"bin_10_unicycler.faa_1_287",244,659,276,426,33,61,3,72,144
"bin_10_unicycler.faa_1_288",418,1489,604,705,93,125,12,215,287
"bin_10_unicycler.faa_1_289",476,1242,444,662,43,133,2,179,264
"bin_10_unicycler.faa_1_29",541,1884,670,693,58,204,20,183,259
"bin_10_unicycler.faa_1_290",499,1606,635,737,87,132,24,233,388
"bin_10_unicycler.faa_1_291",8,51,10,27,6,14,0,10,6
"bin_10_unicycler.faa_1_292",36,73,35,66,55,16,1,9,26
"bin_10_unicycler.faa_1_293",30,109,69,88,5,10,0,19,16
"bin_10_unicycler.faa_1_294",148,323,106,155,16,25,6,53,98
"bin_10_unicycler.faa_1_295",40,96,62,46,2,1,2,4,4
"bin_10_unicycler.faa_1_296",28,75,30,67,4,8,0,2,14
"bin_10_unicycler.faa_1_297",87,104,60,113,28,11,1,15,27
"bin_10_unicycler.faa_1_298",424,930,511,512,165,170,26,84,209
"bin_10_unicycler.faa_1_299",651,1583,773,930,234,243,18,172,375
"bin_10_unicycler.faa_1_3",1111,2619,1046,1422,414,330,38,427,488
"bin_10_unicycler.faa_1_30",129,385,179,182,12,33,3,23,62
"bin_10_unicycler.faa_1_300",275,620,314,342,110,92,8,80,72
"bin_10_unicycler.faa_1_301",112,307,71,161,90,31,2,64,26
"bin_10_unicycler.faa_1_302",122,356,154,192,84,34,4,53,62
"bin_10_unicycler.faa_1_303",211,521,228,302,51,88,8,60,46
"bin_10_unicycler.faa_1_304",389,1496,533,630,67,172,4,151,197
"bin_10_unicycler.faa_1_305",122,351,142,151,40,48,4,32,49
"bin_10_unicycler.faa_1_306",530,1847,752,982,140,262,28,160,260
"bin_10_unicycler.faa_1_307",410,1339,604,800,115,125,12,121,261
"bin_10_unicycler.faa_1_308",471,1478,672,762,120,183,7,151,207
"bin_10_unicycler.faa_1_309",1212,3518,1618,1875,301,416,25,433,510
"bin_10_unicycler.faa_1_31",14,41,22,18,15,4,0,4,14
"bin_10_unicycler.faa_1_310",117,242,54,222,22,40,8,31,73
"bin_10_unicycler.faa_1_311",31,83,29,32,11,19,0,15,21
"bin_10_unicycler.faa_1_312",71,93,86,62,43,15,0,13,30
"bin_10_unicycler.faa_1_313",13,7,0,8,8,0,0,0,2
"bin_10_unicycler.faa_1_314",224,622,180,348,56,77,20,97,136
"bin_10_unicycler.faa_1_315",127,349,183,139,67,51,0,37,102
"bin_10_unicycler.faa_1_316",91,194,72,114,50,36,0,8,45
"bin_10_unicycler.faa_1_317",55,128,58,70,52,33,3,13,29
"bin_10_unicycler.faa_1_318",49,129,42,52,35,40,6,13,24
"bin_10_unicycler.faa_1_319",70,166,30,51,35,40,2,12,43
"bin_10_unicycler.faa_1_32",158,323,100,202,104,61,6,35,59
"bin_10_unicycler.faa_1_320",99,155,62,56,35,17,2,34,42
"bin_10_unicycler.faa_1_321",338,794,370,386,159,105,12,121,200
"bin_10_unicycler.faa_1_322",60,133,63,59,9,9,0,16,25
"bin_10_unicycler.faa_1_323",154,390,226,227,24,34,0,48,74
"bin_10_unicycler.faa_1_324",561,1982,915,974,48,179,12,164,284
"bin_10_unicycler.faa_1_325",9,10,6,3,0,0,0,1,0
"bin_10_unicycler.faa_1_326",10,6,11,6,2,0,0,0,0
"bin_10_unicycler.faa_1_327",446,1280,440,577,249,195,20,158,221
"bin_10_unicycler.faa_1_328",522,1436,556,653,270,184,24,152,242
"bin_10_unicycler.faa_1_329",524,1457,650,729,299,217,16,125,204
"bin_10_unicycler.faa_1_33",356,664,329,424,165,104,14,46,78
"bin_10_unicycler.faa_1_330",228,603,202,340,110,110,13,55,118
"bin_10_unicycler.faa_1_331",188,577,240,291,99,147,14,46,125
"bin_10_unicycler.faa_1_332",35,38,33,73,26,6,0,4,21
"bin_10_unicycler.faa_1_333",415,230,1693,835,182,107,2148,2196,758
"bin_10_unicycler.faa_1_334",65,203,89,107,9,25,4,20,23
"bin_10_unicycler.faa_1_335",144,230,78,152,11,22,6,39,32
"bin_10_unicycler.faa_1_336",2,7,4,9,0,1,1,1,0
"bin_10_unicycler.faa_1_337",220,646,238,334,126,106,22,93,103
"bin_10_unicycler.faa_1_338",3271,9151,3777,4475,5939,2541,220,734,1226
"bin_10_unicycler.faa_1_339",294,625,242,432,413,165,32,42,61
"bin_10_unicycler.faa_1_34",177,422,280,210,81,57,4,32,81
"bin_10_unicycler.faa_1_340",150,391,258,217,76,58,1,28,77
"bin_10_unicycler.faa_1_341",327,850,370,445,129,142,10,97,116
"bin_10_unicycler.faa_1_342",27,79,29,33,45,16,2,8,23
"bin_10_unicycler.faa_1_343",43,147,53,59,39,15,0,7,32
"bin_10_unicycler.faa_1_344",122,360,178,172,105,65,4,46,99
"bin_10_unicycler.faa_1_345",56,171,69,55,24,23,0,27,37
