Bin Id	Bin size (Mbp)	TRE3326A10-45241226.sorted: mapped reads	TRE3326A10-45241226.sorted: % mapped reads	TRE3326A10-45241226.sorted: % binned populations	TRE3326A10-45241226.sorted: % community	TRE3326A11-45241228.sorted: mapped reads	TRE3326A11-45241228.sorted: % mapped reads	TRE3326A11-45241228.sorted: % binned populations	TRE3326A11-45241228.sorted: % community	TRE3326A12-45238228.sorted: mapped reads	TRE3326A12-45238228.sorted: % mapped reads	TRE3326A12-45238228.sorted: % binned populations	TRE3326A12-45238228.sorted: % community	TRE3326A13-45249221.sorted: mapped reads	TRE3326A13-45249221.sorted: % mapped reads	TRE3326A13-45249221.sorted: % binned populations	TRE3326A13-45249221.sorted: % community	TRE3326A14-45252219.sorted: mapped reads	TRE3326A14-45252219.sorted: % mapped reads	TRE3326A14-45252219.sorted: % binned populations	TRE3326A14-45252219.sorted: % community	TRE3326A15-45241232.sorted: mapped reads	TRE3326A15-45241232.sorted: % mapped reads	TRE3326A15-45241232.sorted: % binned populations	TRE3326A15-45241232.sorted: % community	TRE3326A16-45245241.sorted: mapped reads	TRE3326A16-45245241.sorted: % mapped reads	TRE3326A16-45245241.sorted: % binned populations	TRE3326A16-45245241.sorted: % community	TRE3326A17-45241234.sorted: mapped reads	TRE3326A17-45241234.sorted: % mapped reads	TRE3326A17-45241234.sorted: % binned populations	TRE3326A17-45241234.sorted: % community	TRE3326A18-45238232.sorted: mapped reads	TRE3326A18-45238232.sorted: % mapped reads	TRE3326A18-45238232.sorted: % binned populations	TRE3326A18-45238232.sorted: % community
bin_16_metaspades.fasta	1.114971	177797	1.4284006511303116	3.173038535494884	3.173038535494884	129882	0.9485598952890134	2.1684104284901964	2.1684104284901964	115551	0.6944140626314598	1.5545800320605798	1.5545800320605798	199936	1.3472330531382015	3.033209330348325	3.033209330348325	117074	0.8665609143678026	1.9418004651152492	1.9418004651152492	1026403	6.443641000597091	14.291544781844465	14.291544781844465	1795086	14.286920628457498	27.594116519272788	27.594116519272788	581781	4.410075524820296	9.752270903749075	9.752270903749075	1446374	10.04318564131934	19.886801061686732	19.886801061686732
bin_18_operams.fasta	4.061717	94079	0.7558198668014003	0.4608902503996266	0.4608902503996266	58674	0.42851051951916025	0.2689008204155438	0.2689008204155438	74437	0.44733580479699847	0.27490469016676317	0.27490469016676317	59370	0.4000541491518037	0.24724774764343208	0.24724774764343208	63502	0.47003050364883925	0.28912487534823134	0.28912487534823134	79013	0.4960346047119678	0.30200471569100706	0.30200471569100706	65563	0.5218097501532288	0.276658464743362	0.276658464743362	133023	1.0083544779533367	0.6121063319326625	0.6121063319326625	89602	0.6221693143222262	0.3381862434181507	0.3381862434181507
bin_19_operams.fasta	1.477354	8030	0.06451209654030383	0.10815471626401851	0.10815471626401851	7884	0.05757877315146504	0.09933862276957457	0.09933862276957457	11751	0.07061868482299835	0.11931449360542423	0.11931449360542423	7980	0.053771805798069616	0.09136782247480747	0.09136782247480747	6677	0.04942196580994771	0.08358041427168852	0.08358041427168852	808	0.005072531869531216	0.008490858859726896	0.008490858859726896	698	0.00555531634621591	0.00809777407444534	0.00809777407444534	797	0.00604150048434338	0.010082855511373908	0.010082855511373908	488	0.003388525093069869	0.00506387695337153	0.00506387695337153
bin_19_unicycler.fasta	2.141589	986799	7.927829682923447	9.168685217552888	9.168685217552888	96048	0.7014619487128252	0.834849689424438	0.834849689424438	107943	0.6486931066163656	0.7560687794196771	0.7560687794196771	428449	2.887027120598638	3.384059277004529	3.384059277004529	56324	0.41690022499318474	0.486368094718266	0.486368094718266	7765	0.048747784612512245	0.056289859675466514	0.056289859675466514	29559	0.23525730068452164	0.23656386966993634	0.23656386966993634	10290	0.078001304873141	0.08980262714626797	0.08980262714626797	4176	0.028996886862007732	0.02989318963156421	0.02989318963156421
bin_1_metaspades.fasta	1.793241	4104	0.03297106403504445	0.045538967707508725	0.045538967707508725	4	2.9212974709013206e-05	4.1521919572389736e-05	4.1521919572389736e-05	215	0.0012920617170406475	0.0017984681394083493	0.0017984681394083493	3425	0.023078751235387024	0.03230701785519511	0.03230701785519511	1	7.401822047318812e-06	1.0312620963417844e-05	1.0312620963417844e-05	431	0.002705768856148458	0.0037313281429776435	0.0037313281429776435	3146	0.025038718087672288	0.030068714679344574	0.030068714679344574	13297	0.10079527219612788	0.138587737124753	0.138587737124753	84619	0.587568862398523	0.7233976997310076	0.7233976997310076
bin_20_operams.fasta	2.046952	44026	0.3536998209568389	0.4279726933313376	0.4279726933313376	36431	0.26606447040601505	0.33129854232403116	0.33129854232403116	76730	0.4611157932489715	0.562290165677141	0.562290165677141	11799	0.07950545571571722	0.09750176962388284	0.09750176962388284	7688	0.056905207899787036	0.06945658581003179	0.06945658581003179	1850	0.011614089057713798	0.014031008994919427	0.014031008994919427	32102	0.25549679849029105	0.26879379394852077	0.26879379394852077	26360	0.19981675378581112	0.24068417806113268	0.24068417806113268	25409	0.1764324469053531	0.1902951891689496	0.1902951891689496
bin_21_operams.fasta	2.040623	42314	0.33994580983890615	0.41260624203158036	0.41260624203158036	16014	0.11695414424753439	0.1460807998996692	0.1460807998996692	23383	0.14052222850958818	0.17188595871283383	0.17188595871283383	49486	0.33345257916331744	0.41019893570637556	0.41019893570637556	13375	0.0989993698828891	0.12121007751122205	0.12121007751122205	8029	0.05040514651047789	0.06108344380656812	0.06108344380656812	4591	0.03653933717117084	0.038560203847642846	0.038560203847642846	891	0.0067540488476159986	0.008160649427586278	0.008160649427586278	5964	0.04141222060464897	0.044804615233920986	0.044804615233920986
bin_22_metaspades.fasta	2.271934	9781	0.07857942917318951	0.0856647274370502	0.0856647274370502	9411	0.06873082624663084	0.07710741679862898	0.07710741679862898	13345	0.0801979702972439	0.08811012465703454	0.08811012465703454	29960	0.20188011299626138	0.22305966922587123	0.22305966922587123	13011	0.09630510665766506	0.10590651605187675	0.10590651605187675	7288	0.045753233001415226	0.04980093384025518	0.04980093384025518	8123	0.06465019295173616	0.06127954725597108	0.06127954725597108	3791	0.028736923884750003	0.03118658838105636	0.03118658838105636	5732	0.039801282445648546	0.038677497386586344	0.038677497386586344
bin_23_metaspades.fasta	1.763356	3	2.410165499637752e-05	3.3852889546803636e-05	3.3852889546803636e-05	1352	0.009873985451646465	0.014272261130853989	0.014272261130853989	82	0.0004927863292899213	0.0006975523416369932	0.0006975523416369932	180	0.0012128978751444275	0.001726662515605028	0.001726662515605028	7518	0.05564689815174283	0.07884425194519763	0.07884425194519763	86364	0.5421833445299429	0.7603570591343766	0.7603570591343766	645518	5.137617044665619	6.2742694069678375	6.2742694069678375	634274	4.807988303897632	6.722746017426852	6.722746017426852	950693	6.601325996528429	8.26510149269275	8.26510149269275
bin_24_operams.fasta	2.029791	11766	0.09452669089579263	0.11534320396464352	0.11534320396464352	12934	0.09446015372159422	0.11861445711908794	0.11861445711908794	18078	0.1086413568402829	0.1335986310260325	0.1335986310260325	15625	0.10528627388406489	0.13020979621602066	0.13020979621602066	10948	0.08103514777404636	0.0997450108182335	0.0997450108182335	1225	0.007690410321999678	0.009369352953648172	0.009369352953648172	11495	0.0914876237818795	0.09706272029084505	0.09706272029084505	3659	0.027736324055473556	0.033691541486009016	0.033691541486009016	2367	0.016435735441181105	0.017877007816318072	0.017877007816318072
