,TRE3326A10-45241226,TRE3326A11-45241228,TRE3326A12-45238228,TRE3326A13-45249221,TRE3326A14-45252219,TRE3326A15-45241232,TRE3326A16-45245241,TRE3326A17-45241234,TRE3326A18-45238232
EX_abt__L_e_m,-0.02140549656335322,9.041030456969404e-12,4.0312834643986585e-11,6.1506254019864534e-12,1.6506165343211317e-11,-4.4462949726128935e-10,-0.02804541470254085,4.727071838954846e-10,7.602190377040307e-11
EX_acald_e_m,243.70749971305253,-0.034379999999620395,4.517363990659237,3.388504201790548,2.5366802018097774,-0.034379999997394814,202.74508313065934,-0.03437999998669542,23.394138491940783
EX_ac_e_m,-1.4539744994974517,-1.457000000000837,-1.4540000000043245,-0.7400000000012029,-1.1840000000003623,-1.1840000000065545,-1.9250190840518229,-1.9340000000094337,-1.9190000004501815
EX_chol_e_m,0.009551920764507935,2.7630403643658644e-11,2.6887570202016663e-11,1.1522282045340679e-11,2.1966353503743065e-12,5.1412183532724845e-11,0.00776054259725757,2.2119026272702636e-10,0.0007549007336596047
EX_pi_e_m,-1.435257628311334,-0.1588399680975981,-0.07422505827002912,-0.14436791436168925,-0.17321165169367406,0.032414829683982224,-0.4268234523347344,-0.23792442154883614,-0.0453578039038702
EX_ribflv_e_m,-7.100845268704967e-05,-3.931409598853222e-05,-9.774047871295632e-05,-4.60073229835188e-05,-3.341506605702398e-05,-2.032691121515717e-05,-0.00011185286353155727,-1.6222571055027875e-05,-0.00010334457260871484
EX_actn__R_e_m,0.016693578441330154,-0.03438000000030342,-2.280296639934019e-11,-1.941107919375002e-11,-5.760175253945268e-12,-0.03438000000011204,0.0022438578760596434,-0.03437999995619854,-1.6789113635651925e-10
EX_nh4_e_m,-3.4178358223458627,-0.6160644154958622,-0.8495390273908348,-1.6773739590072194,-1.6174998457641305,-0.5507336831078733,-3.437175142751055,-1.357936504842762,-3.4379999996243433
EX_mal__L_e_m,-0.031739119331665906,-0.034380000002116134,-0.03438000002904456,-0.034379999994650176,-0.03437999999961803,-2.9269344434193284e-12,-0.027605089360826486,-3.9435034050031673e-10,-0.03437999996278114
EX_alaala_e_m,-0.02868735566983842,-0.034380000001964735,-0.034380000028635144,-0.03437999999846749,-0.03437999999956337,-0.034380000005976616,-0.03399049406966298,-0.034379999999347,-0.03438000002774331
EX_ala__D_e_m,-0.014470180188185688,-0.034380000001527466,-0.03438000002688387,-0.034379999997977306,-0.03437999999935694,-0.03438000000384264,-0.03354727560717051,-0.03438000000193094,-0.03438000002166233
EX_gln__L_e_m,-0.06871411542169752,-0.06876000000236339,-0.06876000003015852,-0.06875999999938885,-0.06875999999983017,-0.06876000000918439,-0.06861093388985139,-0.0687600000217418,-0.06876000004107365
EX_thr__L_e_m,-0.06827753121802663,-0.0687600000020547,-0.06876000002966579,-0.06875999999931634,-0.06875999999977592,-0.06876000000773123,-0.06800505333992954,-0.06876000001709097,-0.06876000003933107
EX_arg__L_e_m,-0.06847996172149379,-0.06876000000246302,-0.06876000003074557,-0.06875999999986551,-0.06875999999997269,-0.06876000000948514,-0.06866207618730294,-0.06876000002433932,-0.06876000004145905
EX_amp_e_m,-0.03211592890565645,-0.03438000000176052,-0.03438000002825788,-0.03379423800460921,-0.01372955254422172,-0.0343800000042394,-0.0338127037664575,-0.017850671166620365,-0.01098972418777061
EX_cgly_e_m,-0.03331791964228992,-0.034380000002237995,-0.034380000029263336,-0.03437999999924922,-0.03437999999975959,-0.03438000000828069,-0.0342308731753416,-0.03438000002052471,-0.034380000041397525
EX_malt_e_m,-0.0046376247486192845,-0.03437999997999465,0.9736001152240701,-0.034379999784655134,-0.03437999997692218,-0.03437999999949139,-0.006443635553982752,0.9992935210424457,-0.034380000036923986
EX_malttr_e_m,-0.0013567073967157839,0.08804766231342037,0.07542291950334604,-0.03437999997648766,-0.03437999999440671,-0.03437999999831928,0.0017760569965332706,-0.0343799968548729,-0.034380000033598694
EX_starch1200_e_m,-0.03427589863042784,-0.0002934922690409276,-0.0002514102708596629,-0.00020213733879542142,-7.568725254759932e-13,-0.0015543089532337971,-0.03423339969429213,-0.003050495961274757,-0.00783893643898841
EX_arab__D_e_m,-0.02380592641478895,-0.03437999999386862,-0.03438000001142901,-0.03437999998311283,-0.03437999999751481,4.756138069731298e-12,-0.029778096510637383,-1.2473910761903755e-09,-7.426842526730766e-11
EX_fe3_e_m,-3.4148261570322163,-3.438000000000696,-3.438000000004363,-3.43799999999254,-3.4379999999977553,-3.438000000002268,-3.4365085747386304,-3.4380000000200592,-3.438000000036286
EX_lys__L_e_m,-0.0567293689019327,-0.06876000000224913,-0.06876000003024162,-0.06875999999884336,-0.06875999999966999,-0.06876000000649202,-0.0655925136193182,-0.06876000000995817,-0.06876000003234473
