,TRE3326A10-45241226,TRE3326A11-45241228,TRE3326A12-45238228,TRE3326A13-45249221,TRE3326A14-45252219,TRE3326A15-45241232,TRE3326A16-45245241,TRE3326A17-45241234,TRE3326A18-45238232
EX_so4_e_m,-3.43045479017817,-0.0028163660257179437,-3.4301322578847864,-3.4308277074208577,-0.0028609715258168873,-1.4787408987700252,-3.437996633256455,-1.9222721142973627,-3.4380000000418556
EX_trp__L_e_m,-0.06082456647664692,-0.06876000000593743,-0.06130181203564926,-0.06308986525313537,-0.008206821108126476,-0.06875999999290683,-0.06876385134455902,-0.0010377891395230595,-0.06876000003993331
EX_tyr__L_e_m,-0.0009026536117317965,-0.0008273966410198745,0.0009388883780124646,0.0020705741623537146,-0.0005033957478903263,-0.0007236879183016857,-0.003434670567954044,-0.0007601669457681441,-0.002625507418844782
EX_val__L_e_m,-0.049670020534138735,-0.06876000000596524,-0.006510588991971766,-0.04522563879070262,-0.068759999998997,-0.06875999998038203,-0.06859897235307977,-0.06875999999937667,-0.0687600000397752
EX_raffin_e_m,-0.03437995251779438,-1.5602990013912852e-11,-0.034379999977659295,-0.03397910312294373,-2.2012893903484993e-12,-5.099430668810585e-10,-0.03250667227209909,-3.268550557201142e-11,-3.4966614205382604e-10
EX_rbt_e_m,-0.02905046658351457,-2.5291050902648794e-12,-0.030403407074721202,-0.029984752747535637,-3.835829418190373e-12,-3.9578624864392174e-11,-0.029315209159870542,-6.197839977462465e-12,-0.0038153536605491875
EX_spmd_e_m,0.10237055832260038,0.0016229163887680142,0.12260986633806147,0.11155566282370608,-3.800416800827165e-14,0.034379992505256855,1.209383344453298,3.449588956009147e-11,1.0155968660198127
EX_rib__D_e_m,-0.018148712834529013,-0.03438000000530444,-0.02530966218849738,-0.012848066688468718,-0.03437999999949633,-0.03437999999968656,-0.026679353251038103,-0.034379999996596196,-0.03438000003279167
EX_salchs4fe_e_m,-0.033216460314169985,-9.613015296114111e-12,-0.033059768201101604,-0.03334281274685595,-5.7518474298091914e-12,-1.654353099624979e-10,-0.03243621351241962,-6.395892603609032e-11,-1.887355356607349e-10
EX_salchs4_e_m,0.033216460327968135,9.750321670532499e-12,0.03305976820142046,0.03334281274637681,4.889233511875608e-12,1.6619699139169906e-10,0.03247662910010847,6.279950994239785e-11,1.88144694767188e-10
