,TRE3326A10-45241226,TRE3326A11-45241228,TRE3326A12-45238228,TRE3326A13-45249221,TRE3326A14-45252219,TRE3326A15-45241232,TRE3326A16-45245241,TRE3326A17-45241234,TRE3326A18-45238232
EX_glu__L_e_m,-0.0687600023221966,-0.06876000939512174,-0.06875999986250433,-0.0687599754022748,-0.0687600006823413,-0.06876000122874282,-0.06875999344618686,-0.06875861579483451,-0.06875999923945766
EX_drib_e_m,-1.5355445342209355e-09,-2.005123415582031e-10,-2.0491639859313105e-09,-3.6551109723323505e-09,-1.1295273011308603e-10,-5.358350664524078e-09,3.244672346630616e-08,-1.74357114670094e-06,-3.644508912129613e-08
EX_galur_e_m,-0.0343800000801333,-0.03438000057292114,-0.034379999982203945,-0.034380000022482905,-0.03437999998955628,-0.03437999991571139,-0.03437999292405493,-0.03437968805981475,-0.034379999779554776
EX_etha_e_m,0.001581354075968779,0.001555545370663373,-0.03437999975540894,-0.014639913295702873,-0.0170465021775213,-0.00328583478362854,-0.018809383907757632,-0.016025750097237883,-0.03437999988860497
EX_fe2_e_m,3.4297910056928,3.4295950806301425,3.4293600868521765,3.428683085697822,3.4283992718791754,3.429155324081589,3.4297297161663725,3.428722394339159,3.4291338789912924
EX_fe3dcit_e_m,-0.0018446976063845654,-0.0013546005759729053,-0.0013955534880376833,-0.0010977097954341644,-0.0006331861177158572,-0.00026821498567649254,-0.000769519718442377,-0.0009952872851208849,-0.0009915045257086826
EX_enter_e_m,8.67414718173369e-05,0.0003411804185131371,0.00025026422904786524,0.00011258460510795886,0.00011835199395769796,3.219618672097576e-09,4.271591904396656e-09,6.815433075262903e-05,2.137632037075402e-05
EX_feenter_e_m,-8.674147047726464e-05,-0.00034118041832373796,-0.0002502642290506208,-0.00011258460505810528,-0.00011835198882589136,-3.2194890697572504e-09,-4.300983289138059e-09,-6.790057155543038e-05,-2.1376320283221595e-05
EX_fru_e_m,-0.03437999991398128,-0.03437999559078034,-0.03438000036145519,-0.03437999933480796,-0.03437999910056018,-0.03437999994031956,-0.034380910289918534,-0.034378455002052624,-0.0343800024296304
EX_g3pc_e_m,-0.034379999816929685,-0.03437999586781378,-0.03437999991066325,-0.03437999948018866,-4.0249509059920793e-10,-0.03437999978631634,-0.03438001025447853,-2.536780927028759e-06,-0.0034124656888970236
EX_g3pi_e_m,-0.03437999989834715,-0.03437999926840797,-0.034379999869299786,-0.034379999922090225,-0.03438000000039268,-6.240992107871039e-10,-0.034379999054517614,-0.0343794110278486,-0.026407899609918847
EX_g3ps_e_m,-0.034379999898079806,-0.03438000028128105,-0.03437999987514186,-0.03437999951040523,-0.03437999999297919,-0.0343799998564648,-0.0343800007803853,-0.006854983010024693,-0.0028226178136386477
EX_gal_e_m,-0.00617065257840708,0.019947712909626755,0.02006720248646254,-0.016161667930446096,0.006665440997311756,0.03437999684701681,0.0267744905478418,0.021049145287137815,0.034379986918358696
EX_galctn__L_e_m,-0.0343799998809035,-0.03438000034272287,-0.03437999995271446,-0.03437999966364314,-0.03437999999518369,-0.03437999983104699,-0.03438000025788964,-0.03437945081010816,-0.03437999950463087
EX_galct__D_e_m,-0.012987287644021184,-7.435631183809557e-12,-0.03437999991412078,-0.009642770564109561,-1.5802279376925613e-11,,-0.03437999944561536,-0.034378751869433864,-0.03437999934014467
EX_galt_e_m,-0.034379999896158926,-0.034380003417104864,-0.03437999999166693,-0.03437999858820497,-0.03438000003414853,-0.03438000007708043,-0.034379928018296424,-1.0763220852318145e-05,-0.03437999854428481
EX_gthrd_e_m,-0.03437999163832428,-0.0343799688455471,-0.034379999464518515,-0.034380025240908996,-0.034380000209657646,-0.034380000978757444,-0.03437985893236524,-0.034380333735368945,-0.03438000223355071
EX_glcn_e_m,-0.034379999733574085,-0.03437999897115285,-0.03437999999153862,-0.034380000270440914,-0.034380000016967394,-0.03437999987531529,-0.03438001153629511,-0.0343798455838939,-0.03437999937268954
EX_glcn__D_e_m,-0.03437999999433329,-0.03438000053791172,-0.034379999775647214,-0.03437999973327774,-0.03437999999911937,-0.03437999981582942,-0.034380060144394084,-0.0343790677386467,-0.03437999900195927
EX_glcur_e_m,-0.03438000082963363,-0.03438000792693341,-0.03437999994133212,-0.03437999448609541,-0.03438000004202059,-0.03437999954349365,-0.034380179628127464,-0.034379443309793825,-0.03437999931629632
EX_glyc3p_e_m,-0.03437999981889745,-0.03437999944453826,-0.03437999998095076,-0.03437999970447739,-0.03437999997877433,-0.03437999982026229,-0.03437997903603901,-0.03437940224240824,-0.034380032005453635
EX_glyb_e_m,4.914721683423909e-10,1.5930386875065392e-09,0.026418694305181126,0.02475071454055831,9.781380376310905e-11,9.254282948033212e-10,-1.3490502953978067e-07,0.023872780273728463,4.511102396757129e-09
EX_glyclt_e_m,0.026834037708458255,0.019589422388724322,0.02204909362559279,0.03255702596962562,0.022854988740923038,0.0005369365058044149,0.03439693657129497,0.03444812084465984,0.03452070907516344
EX_h2s_e_m,4.411579233773342,4.14437761735206,3.7855025534585973,4.0988692668432485,3.7348411238630796,5.430565303744154,6.013522451989654,4.400736683001944,5.399935758501243
EX_4hphac_e_m,-0.03437999986611237,-0.034379996345524785,-0.0343800585277423,-0.034380056168075136,-0.034380001425759366,-0.03437999213019288,-0.034380279338014214,-0.034379699738448316,-0.034380007244977376
EX_taur_e_m,-4.55634059593123e-12,-1.0673472228267345e-12,-1.6824795411737866e-11,-2.5284101292924305e-11,6.811032736652983e-12,-1.0054774951721641e-10,-3.2296505750742984e-11,-9.415449827523464e-08,-2.462631338581103e-10
EX_id3acald_e_m,0.08672619749704423,0.07988333258179287,0.07945497948292865,0.08209647033155909,0.08355350371390984,-0.00442693905905311,-0.0343799787828217,-0.029089870795972906,-0.03437999821066197
