,TRE3326A10-45241226,TRE3326A11-45241228,TRE3326A12-45238228,TRE3326A13-45249221,TRE3326A14-45252219,TRE3326A15-45241232,TRE3326A16-45245241,TRE3326A17-45241234,TRE3326A18-45238232
EX_bz_e_m,0.0343731451512361,0.03436547943934778,-0.01000174290060514,-1.010912435364956e-05,-1.1321800376004028e-05,-7.534020428999569e-06,0.06875959065682781,6.541247510597879e-06,-2.647966604977946e-06
EX_chols_e_m,-9.584715536858516e-05,-4.8240373992437536e-05,-6.455454217086775e-05,-5.702437596928851e-05,-4.6963668363729397e-05,-6.442320484984952e-06,-6.788091995788185e-06,-8.65321659532013e-05,-6.628088415224254e-05
EX_coa_e_m,-2.4243015877723295e-05,-1.9582906349034178e-05,-2.1068590563776154e-05,-2.796501269860559e-05,-1.4664251530679081e-05,-8.683430649542075e-06,-2.087819127260357e-06,-7.401333134829144e-06,-7.739829867330272e-06
EX_cu_e_m,-3.5301112772782714e-11,-1.4984881358131246e-07,6.179893248052181e-07,-1.1973633806766168e-10,-7.052375292166892e-07,-8.099125362879849e-10,-4.519581112174928e-08,3.5318247585107295e-07,-1.8721655850932622e-10
EX_cyst__L_e_m,-3.772399201569168e-11,-2.927843329195129e-07,-1.584196083714949e-06,-0.00039810041115147466,-0.0004599524252728997,-0.0006992097335609866,-0.00014643720231061566,-2.0885927406001467e-06,-2.398745432587809e-10
EX_dca_e_m,-1.2772312360807194e-10,-6.671898566362871e-07,-4.949067314134768e-07,-4.576189615667698e-10,1.8660739390381148e-06,-8.320393700891435e-09,-8.67476492359986e-07,4.098705865853337e-06,-7.572902518181612e-10
EX_ethso3_e_m,-7.847108756918315e-12,-8.744512661282139e-09,-6.855108341076898e-08,-2.0438845898838143e-11,-9.095145781236023e-08,-1.307428383677567e-10,-1.1846280911839142e-08,-1.1821759797126886e-07,-2.776629923862921e-11
EX_etoh_e_m,-0.03437999978162965,-0.03438216983471061,-0.03437967700254115,-3.516222281956232e-09,-1.812216403675004e-05,-0.01346999703887483,-1.6993827305995272e-06,-0.021538497325917092,-0.017924060961023773
EX_h2_e_m,0.0,0.0,0.0,-3.3799999995399452,-3.4430040739333507,-3.3859999978259103,-3.3890003439986116,-3.3740076049293055,-3.43199999983516
EX_fuc__L_e_m,1.054738700455785e-10,-1.8191680951504124e-07,-7.684318827159902e-05,-1.1370929314442438e-09,1.851963072438029e-07,-4.947576248089965e-09,-1.997597825404708e-06,7.126958684822682e-07,-1.6771446242946634e-10
EX_gam_e_m,-0.026979064910555697,-0.027128186771039713,-0.027509014898809345,-0.027822387899223647,-0.027443425472187817,-0.031121912892913637,-0.02764490618753617,-0.02651776351208166,-0.03437999893392758
EX_glucan6_e_m,-3.960541150841425e-10,-1.36195959094981e-06,-1.926590855163235e-06,-1.412541869652439e-09,-4.614986569698742e-06,-1.1432887179828528e-08,-1.5420965071911848e-10,7.919442568004858e-07,-2.5120261678123635e-10
